salary_delay_days,savings_balance_drop_pct,utility_payment_delay_days,upi_lending_txn_count,discretionary_spend_drop_pct,atm_withdrawals_count,failed_autodebit,default_risk
2,0.15,2,3,0.14,1,0,0
5,0.33,3,1,0.2,2,0,0
1,0.24,5,2,0.19,3,1,0
3,0.18,3,0,0.52,4,0,0
4,0.32,3,0,0.03,3,0,0
2,0.47,1,1,0.21,2,0,0
3,0.02,2,4,0.24,6,0,0
2,0.46,3,1,0.37,4,0,0
1,0.3,1,0,0.47,1,1,0
4,0.4,1,2,0.44,3,0,0
1,0.19,4,1,0.45,1,0,0
3,0.24,2,4,0.12,1,0,0
1,0.43,4,1,0.55,3,0,0
1,0.21,4,1,0.25,2,0,0
3,0.27,1,0,0.01,1,0,0
0,0.01,3,2,0.4,2,0,0
1,0.08,3,0,0.36,6,0,0
1,0.32,1,0,0.08,1,0,0
0,0.36,3,3,0.58,3,0,0
1,0.29,2,2,0.34,1,0,0
2,0.07,5,5,0.28,2,0,0
0,0.22,5,1,0.24,0,0,0
3,0.18,6,3,0.13,1,1,0
4,0.25,3,1,0.57,2,0,0
4,0.44,2,6,0.42,2,0,0
1,0.39,1,1,0.34,2,0,0
1,0.04,2,4,0.38,1,0,0
0,0.45,1,1,0.5,2,0,0
0,0.24,3,1,0.38,2,1,0
4,0.37,4,4,0.07,2,0,0
2,0.07,4,0,0.42,0,1,0
1,0.34,1,2,0.34,3,0,0
1,0.12,1,0,0.58,2,0,0
3,0.22,5,1,0.44,2,0,0
4,0.01,3,0,0.21,3,0,0
4,0.08,0,4,0.08,1,1,0
3,0.05,8,1,0.29,1,0,0
2,0.12,2,1,0.41,2,0,0
2,0.05,5,3,0.11,3,0,0
0,0.35,3,3,0.39,1,0,0
4,0.01,2,2,0.5,3,0,0
2,0.31,7,0,0.09,3,0,0
5,0.07,0,1,0.42,1,0,0
2,0.47,3,0,0.04,1,0,0
0,0.47,4,2,0.0,2,1,1
3,0.11,4,2,0.02,0,0,0
5,0.31,4,3,0.38,3,0,0
1,0.01,8,0,0.58,1,0,0
0,0.47,4,1,0.46,3,1,1
8,0.26,2,0,0.15,2,0,0
1,0.02,1,0,0.04,1,0,0
2,0.17,2,1,0.37,4,0,0
3,0.04,0,2,0.0,2,0,0
4,0.2,4,1,0.48,2,0,0
3,0.33,3,2,0.15,2,0,0
0,0.23,1,7,0.18,2,0,0
0,0.19,3,1,0.21,3,0,0
3,0.06,6,5,0.46,4,1,0
1,0.12,4,2,0.16,2,0,0
2,0.05,1,2,0.17,2,0,0
3,0.4,1,0,0.32,4,0,0
5,0.07,3,0,0.28,2,0,0
2,0.3,3,0,0.57,1,1,0
3,0.17,7,0,0.16,1,0,0
2,0.11,5,2,0.06,1,1,0
0,0.32,7,2,0.32,2,0,0
0,0.23,3,2,0.11,0,0,0
1,0.2,2,0,0.25,0,0,0
1,0.3,4,3,0.11,2,0,0
3,0.25,2,3,0.53,4,0,0
1,0.15,6,1,0.2,4,0,0
0,0.28,3,2,0.46,1,0,0
1,0.33,1,1,0.57,2,0,0
1,0.01,2,0,0.56,1,0,0
0,0.23,6,2,0.31,2,0,0
1,0.03,4,0,0.59,2,0,0
2,0.09,3,1,0.39,5,0,0
0,0.28,4,1,0.08,0,0,0
2,0.43,3,4,0.53,3,0,0
2,0.44,4,6,0.28,6,0,0
3,0.03,2,5,0.09,2,0,0
1,0.21,7,0,0.47,2,0,0
2,0.29,3,4,0.37,3,0,0
2,0.07,4,0,0.53,0,1,0
3,0.38,6,2,0.5,1,1,1
1,0.37,4,1,0.19,1,0,0
2,0.45,2,0,0.15,1,0,0
1,0.0,6,0,0.44,3,0,0
0,0.11,2,5,0.34,2,0,0
1,0.41,3,2,0.04,3,0,0
1,0.34,2,3,0.11,1,0,0
5,0.45,4,2,0.09,1,1,1
3,0.03,6,2,0.35,5,0,0
0,0.3,2,1,0.05,2,0,0
1,0.28,2,4,0.12,2,0,0
2,0.02,6,1,0.33,2,0,0
3,0.26,2,1,0.08,3,0,0
1,0.3,1,3,0.15,5,0,0
1,0.1,6,1,0.54,3,0,0
1,0.14,4,1,0.42,0,1,0
1,0.32,4,0,0.18,2,0,0
3,0.23,2,1,0.53,1,0,0
4,0.43,1,0,0.15,3,0,0
1,0.17,4,0,0.35,2,0,0
3,0.13,5,0,0.22,0,0,0
2,0.49,5,1,0.45,2,1,1
2,0.46,2,2,0.22,1,0,0
0,0.01,2,2,0.15,2,0,0
2,0.39,3,3,0.36,0,0,0
1,0.06,7,0,0.45,1,0,0
1,0.01,3,2,0.32,1,0,0
1,0.14,5,1,0.43,1,0,0
0,0.13,4,0,0.25,0,1,0
3,0.41,2,2,0.48,3,0,0
4,0.36,0,2,0.35,2,0,0
4,0.49,4,3,0.12,2,0,0
2,0.36,0,0,0.53,3,0,0
0,0.21,1,2,0.5,2,1,0
3,0.35,1,1,0.58,3,0,0
2,0.5,6,0,0.34,1,0,0
1,0.36,2,1,0.41,1,0,0
2,0.38,7,2,0.52,2,0,0
3,0.47,4,2,0.03,3,0,0
2,0.06,6,2,0.55,0,0,0
2,0.35,5,0,0.16,2,0,0
4,0.43,1,1,0.03,1,0,0
0,0.48,4,2,0.14,1,0,0
3,0.11,3,0,0.35,1,0,0
5,0.25,5,1,0.03,3,0,0
1,0.34,1,1,0.0,1,0,0
1,0.12,3,1,0.38,1,0,0
3,0.3,5,0,0.27,1,0,0
1,0.13,3,2,0.51,2,1,0
1,0.17,0,1,0.15,0,0,0
2,0.22,2,1,0.17,2,0,0
2,0.26,2,2,0.05,5,0,0
3,0.22,3,0,0.32,1,0,0
1,0.25,4,0,0.22,2,0,0
3,0.15,4,0,0.2,4,0,0
2,0.08,3,1,0.27,0,0,0
2,0.02,0,1,0.51,4,0,0
6,0.1,2,2,0.06,2,0,0
3,0.29,2,0,0.31,2,0,0
3,0.39,9,0,0.12,0,0,0
2,0.08,3,0,0.13,1,0,0
4,0.05,5,1,0.15,3,0,0
0,0.37,3,2,0.28,3,1,1
2,0.15,4,4,0.3,2,0,0
1,0.48,2,0,0.52,0,0,0
3,0.36,0,0,0.54,4,0,0
2,0.16,1,0,0.35,1,0,0
1,0.14,0,2,0.17,4,0,0
1,0.26,2,1,0.49,2,1,0
3,0.04,5,0,0.48,0,0,0
1,0.06,3,1,0.48,2,0,0
1,0.09,3,3,0.01,3,0,0
2,0.39,2,2,0.45,0,0,0
0,0.26,1,3,0.51,3,0,0
3,0.01,3,2,0.36,2,0,0
3,0.34,2,3,0.45,2,0,0
1,0.21,2,0,0.47,1,0,0
2,0.26,3,0,0.3,5,1,0
3,0.11,1,1,0.49,2,0,0
2,0.28,0,2,0.48,0,0,0
3,0.49,3,0,0.55,4,0,0
2,0.04,3,2,0.55,2,0,0
0,0.14,5,6,0.32,6,0,0
1,0.12,2,0,0.02,2,0,0
1,0.12,3,1,0.01,2,0,0
1,0.19,3,1,0.56,4,0,0
1,0.41,2,1,0.2,0,0,0
0,0.46,6,2,0.23,2,0,0
2,0.1,5,1,0.28,1,0,0
1,0.27,3,0,0.16,1,0,0
3,0.32,1,2,0.35,1,0,0
2,0.26,3,1,0.47,4,0,0
2,0.22,4,2,0.15,3,1,0
0,0.1,2,4,0.45,1,0,0
1,0.24,2,1,0.4,1,0,0
1,0.2,3,2,0.32,3,0,0
3,0.4,2,1,0.2,2,0,0
1,0.38,1,0,0.52,1,0,0
2,0.07,1,1,0.24,1,1,0
2,0.04,3,0,0.22,3,0,0
3,0.45,3,1,0.38,2,0,0
4,0.27,3,1,0.55,2,0,0
0,0.43,0,0,0.3,1,0,0
2,0.03,4,4,0.43,5,0,0
1,0.26,3,2,0.27,4,0,0
3,0.27,5,1,0.13,1,0,0
1,0.43,8,1,0.07,2,0,0
1,0.05,3,0,0.08,3,0,0
2,0.12,2,2,0.01,6,0,0
2,0.2,5,0,0.33,2,0,0
0,0.43,3,0,0.08,2,0,0
1,0.47,0,0,0.52,4,0,0
4,0.5,4,0,0.59,2,0,0
3,0.48,1,0,0.3,2,0,0
0,0.0,1,0,0.27,4,1,0
1,0.02,2,1,0.21,1,0,0
0,0.07,1,2,0.38,3,0,0
2,0.17,3,0,0.36,1,0,0
1,0.41,5,1,0.21,0,0,0
2,0.45,4,1,0.21,1,0,0
4,0.09,3,2,0.39,4,0,0
0,0.31,3,1,0.33,5,0,0
2,0.46,4,5,0.43,2,0,0
2,0.23,3,1,0.56,3,0,0
1,0.05,3,3,0.47,1,0,0
0,0.23,2,1,0.18,1,0,0
3,0.19,3,1,0.46,1,0,0
3,0.29,4,2,0.27,1,1,0
2,0.22,2,2,0.47,0,0,0
0,0.01,8,2,0.53,2,0,0
1,0.5,2,2,0.15,2,0,0
2,0.27,1,1,0.14,2,0,0
5,0.24,8,0,0.26,1,0,0
2,0.48,2,2,0.03,2,0,0
3,0.08,3,3,0.41,0,1,0
2,0.09,1,0,0.45,2,0,0
2,0.4,3,2,0.21,2,0,0
5,0.13,6,1,0.28,2,1,0
4,0.4,3,1,0.35,2,0,0
2,0.14,2,3,0.04,2,0,0
0,0.02,2,2,0.43,1,0,0
3,0.26,2,2,0.32,0,0,0
2,0.1,4,0,0.37,0,0,0
3,0.38,3,1,0.43,1,0,0
1,0.32,1,2,0.41,1,0,0
1,0.46,5,0,0.06,2,1,1
5,0.39,2,2,0.47,2,0,0
3,0.09,3,1,0.37,3,0,0
4,0.4,3,1,0.43,1,0,0
2,0.32,5,1,0.16,2,0,0
1,0.33,4,1,0.13,1,0,0
1,0.42,6,2,0.5,4,1,1
0,0.29,4,2,0.23,1,0,0
0,0.23,1,2,0.35,0,0,0
3,0.32,4,0,0.33,0,1,0
3,0.15,2,1,0.35,2,0,0
4,0.09,2,1,0.04,1,1,0
2,0.31,5,3,0.18,2,0,0
4,0.12,2,0,0.04,2,0,0
1,0.04,2,1,0.29,1,0,0
2,0.0,1,1,0.54,3,1,0
0,0.3,4,3,0.23,0,0,0
5,0.18,2,1,0.47,1,0,0
2,0.38,4,1,0.17,1,0,0
2,0.19,0,0,0.51,4,0,0
3,0.24,3,2,0.25,3,0,0
2,0.2,6,1,0.21,0,0,0
6,0.33,3,0,0.42,3,0,0
2,0.18,1,3,0.31,2,0,0
2,0.48,4,2,0.2,1,0,0
2,0.47,0,2,0.03,0,0,0
3,0.42,2,2,0.1,5,1,1
3,0.46,4,0,0.46,2,0,0
3,0.22,1,1,0.55,2,0,0
6,0.27,3,3,0.1,1,0,0
1,0.37,5,0,0.34,3,0,0
2,0.35,2,2,0.02,2,0,0
1,0.45,1,5,0.17,1,1,1
2,0.36,5,0,0.27,2,0,0
3,0.5,1,1,0.44,2,0,0
3,0.17,2,0,0.03,2,0,0
2,0.42,2,0,0.47,0,0,0
1,0.35,2,0,0.12,3,0,0
4,0.35,2,1,0.46,3,0,0
1,0.16,1,2,0.38,2,0,0
2,0.39,2,2,0.2,2,0,0
2,0.45,3,0,0.43,5,0,0
2,0.11,3,2,0.14,1,1,0
0,0.31,0,2,0.13,1,0,0
4,0.2,5,2,0.04,5,0,0
1,0.49,7,2,0.24,1,0,0
0,0.24,3,2,0.06,1,0,0
2,0.11,1,1,0.25,4,0,0
2,0.19,3,5,0.01,0,1,0
3,0.33,1,2,0.09,2,0,0
2,0.04,3,2,0.56,2,0,0
0,0.3,3,0,0.48,4,0,0
2,0.47,1,2,0.14,1,0,0
2,0.43,5,2,0.43,4,0,0
3,0.03,4,4,0.4,0,0,0
2,0.5,0,0,0.11,0,1,1
2,0.35,3,1,0.22,2,0,0
0,0.08,1,0,0.55,3,0,0
3,0.01,11,1,0.44,4,1,0
3,0.09,0,1,0.46,4,0,0
4,0.42,4,1,0.34,2,0,0
0,0.01,3,3,0.4,2,0,0
4,0.12,3,1,0.31,1,0,0
0,0.38,0,3,0.44,1,0,0
2,0.29,1,2,0.44,2,0,0
1,0.39,4,1,0.02,6,0,0
2,0.37,7,0,0.38,2,0,0
2,0.03,1,1,0.38,3,0,0
0,0.45,0,0,0.04,1,0,0
2,0.11,2,2,0.25,3,1,0
4,0.28,4,1,0.54,1,0,0
1,0.32,2,5,0.57,1,0,0
2,0.08,3,0,0.47,2,0,0
3,0.49,3,1,0.09,3,1,1
0,0.24,1,0,0.22,1,0,0
2,0.03,3,2,0.11,4,0,0
1,0.47,2,5,0.39,4,0,0
0,0.29,4,3,0.46,3,0,0
1,0.35,4,2,0.53,2,0,0
3,0.26,2,1,0.52,0,0,0
1,0.42,1,1,0.06,2,1,1
2,0.02,3,3,0.08,3,0,0
1,0.13,2,2,0.55,3,1,0
5,0.23,5,2,0.51,0,0,0
1,0.04,3,2,0.28,1,0,0
4,0.35,3,3,0.26,2,1,0
2,0.2,7,3,0.33,1,0,0
0,0.14,4,4,0.36,0,0,0
1,0.0,2,0,0.15,2,0,0
3,0.36,4,4,0.24,3,0,0
2,0.42,3,2,0.37,7,0,0
3,0.2,3,2,0.12,2,1,0
3,0.28,6,2,0.6,2,0,0
1,0.11,2,2,0.17,1,0,0
0,0.31,0,1,0.33,2,0,0
1,0.01,3,2,0.33,2,1,0
4,0.24,3,3,0.27,3,0,0
2,0.32,1,2,0.14,1,0,0
4,0.46,3,0,0.34,2,0,0
3,0.19,0,0,0.05,1,0,0
2,0.38,2,0,0.23,3,0,0
3,0.3,4,2,0.13,1,0,0
2,0.46,6,1,0.07,1,0,0
2,0.2,3,0,0.56,2,0,0
2,0.16,3,2,0.42,4,0,0
3,0.44,0,1,0.1,2,0,0
1,0.02,7,2,0.57,4,0,0
2,0.07,3,4,0.13,4,0,0
3,0.04,4,3,0.14,3,1,0
2,0.42,5,1,0.08,3,0,0
0,0.01,2,1,0.44,1,1,0
1,0.43,0,2,0.34,0,1,1
2,0.23,1,1,0.03,1,0,0
2,0.0,1,1,0.02,4,1,0
1,0.2,2,1,0.32,1,0,0
0,0.09,2,1,0.39,2,0,0
5,0.31,3,2,0.49,1,0,0
2,0.34,2,1,0.29,4,0,0
1,0.24,3,1,0.41,3,0,0
2,0.02,3,0,0.44,4,0,0
0,0.33,6,1,0.37,6,0,0
2,0.42,4,1,0.21,1,0,0
1,0.36,4,3,0.08,2,0,0
3,0.41,1,2,0.39,3,1,1
4,0.1,0,2,0.46,0,1,0
2,0.44,4,0,0.11,3,0,0
0,0.16,2,1,0.3,2,0,0
2,0.01,7,0,0.24,4,1,0
2,0.42,3,1,0.12,4,0,0
3,0.47,1,1,0.15,2,0,0
5,0.33,1,4,0.14,2,0,0
2,0.12,4,2,0.25,1,0,0
3,0.13,3,2,0.23,0,0,0
3,0.23,4,1,0.33,0,0,0
2,0.45,3,1,0.06,0,0,0
5,0.07,2,2,0.35,0,1,0
2,0.41,0,0,0.01,1,0,0
5,0.15,1,1,0.15,2,0,0
0,0.4,3,2,0.3,3,1,1
1,0.46,3,0,0.41,0,0,0
1,0.21,3,0,0.46,2,0,0
2,0.18,1,0,0.02,3,1,0
1,0.4,6,2,0.32,3,0,0
1,0.26,2,3,0.21,4,0,0
0,0.34,2,1,0.42,3,0,0
3,0.31,5,1,0.17,2,0,0
3,0.08,4,1,0.45,2,0,0
0,0.42,4,2,0.36,2,0,0
1,0.1,2,0,0.47,4,0,0
2,0.47,8,0,0.59,0,1,1
5,0.13,5,2,0.55,2,1,0
1,0.37,5,1,0.36,2,0,0
3,0.14,7,0,0.54,2,0,0
0,0.16,2,1,0.09,2,1,0
2,0.16,2,2,0.03,1,0,0
1,0.37,3,0,0.32,2,0,0
1,0.28,6,1,0.58,1,0,0
2,0.44,2,3,0.43,0,0,0
2,0.15,6,3,0.18,2,0,0
1,0.35,6,1,0.4,0,0,0
1,0.38,4,0,0.02,3,1,1
1,0.08,5,1,0.28,2,0,0
1,0.2,4,2,0.14,3,0,0
3,0.24,2,1,0.03,1,0,0
2,0.18,2,2,0.15,3,0,0
5,0.16,6,3,0.43,2,0,0
1,0.34,5,1,0.33,1,1,0
3,0.11,2,2,0.01,2,0,0
2,0.35,2,0,0.25,3,1,0
3,0.47,4,1,0.45,0,0,0
3,0.28,3,6,0.57,1,0,0
3,0.31,3,0,0.52,3,0,0
0,0.03,6,2,0.0,4,0,0
3,0.43,3,0,0.13,1,0,0
2,0.14,4,3,0.12,1,0,0
1,0.31,4,4,0.25,3,0,0
2,0.49,4,2,0.39,4,1,1
3,0.3,4,1,0.09,3,0,0
0,0.36,5,1,0.55,2,0,0
2,0.22,0,1,0.47,2,0,0
0,0.03,3,0,0.25,2,0,0
0,0.4,1,0,0.35,3,0,0
2,0.02,3,1,0.33,3,0,0
1,0.35,10,4,0.35,1,0,0
0,0.01,3,3,0.52,0,0,0
1,0.43,3,0,0.12,2,0,0
2,0.08,2,0,0.41,5,0,0
3,0.26,2,3,0.06,2,0,0
4,0.3,1,4,0.28,0,0,0
2,0.23,4,3,0.38,1,0,0
2,0.17,4,0,0.01,2,1,0
2,0.23,5,0,0.06,1,0,0
0,0.16,6,0,0.05,1,0,0
2,0.22,2,3,0.22,1,0,0
3,0.18,2,1,0.37,3,0,0
1,0.28,2,3,0.6,2,0,0
6,0.12,2,0,0.15,2,1,1
1,0.49,1,0,0.08,0,0,0
3,0.25,2,1,0.25,2,1,0
1,0.1,4,4,0.09,5,0,0
1,0.24,4,2,0.01,1,0,0
3,0.43,3,5,0.34,2,0,0
3,0.01,2,3,0.53,5,0,0
3,0.34,2,3,0.52,7,1,0
1,0.27,2,1,0.06,0,0,0
6,0.08,1,3,0.09,0,0,0
0,0.41,2,1,0.29,5,0,0
1,0.18,3,1,0.22,1,0,0
4,0.15,2,6,0.42,3,0,0
0,0.41,3,3,0.3,1,0,0
5,0.32,5,1,0.01,3,0,0
2,0.45,5,1,0.17,4,0,0
1,0.31,1,2,0.54,3,0,0
0,0.37,3,0,0.31,3,0,0
0,0.42,6,1,0.48,3,0,0
4,0.03,3,1,0.24,2,0,0
2,0.39,3,0,0.41,1,0,0
2,0.31,1,2,0.1,6,0,0
1,0.03,2,1,0.44,4,0,0
0,0.25,0,1,0.47,4,0,0
2,0.04,2,2,0.05,3,0,0
1,0.37,4,0,0.11,1,0,0
3,0.27,5,0,0.28,2,0,0
0,0.48,6,1,0.38,4,0,0
1,0.09,6,2,0.38,2,0,0
1,0.3,6,2,0.4,2,0,0
4,0.11,3,0,0.43,1,0,0
3,0.31,3,1,0.3,2,1,0
2,0.36,5,1,0.34,3,0,0
2,0.36,2,2,0.01,3,0,0
2,0.41,4,0,0.1,0,0,0
2,0.43,4,0,0.3,2,0,0
2,0.04,4,2,0.45,1,0,0
1,0.17,5,3,0.49,2,0,0
0,0.34,4,3,0.44,0,0,0
4,0.25,6,0,0.29,3,0,0
0,0.1,3,2,0.17,1,0,0
3,0.28,0,2,0.27,1,0,0
1,0.2,2,0,0.01,6,0,0
2,0.2,5,0,0.36,3,0,0
2,0.4,1,1,0.04,1,1,1
5,0.2,2,0,0.09,3,1,0
1,0.01,7,1,0.38,0,0,0
1,0.03,2,2,0.01,3,0,0
5,0.43,5,0,0.34,1,1,1
1,0.48,4,2,0.38,2,0,0
1,0.34,2,2,0.47,2,1,0
3,0.18,2,1,0.04,5,0,0
0,0.47,1,1,0.0,2,1,1
1,0.33,0,2,0.46,3,0,0
0,0.42,2,1,0.17,2,1,1
0,0.38,3,0,0.53,2,0,0
3,0.19,3,4,0.11,4,0,0
3,0.24,2,1,0.35,5,0,0
1,0.09,3,4,0.07,1,0,0
2,0.15,2,3,0.24,2,0,0
0,0.39,5,2,0.53,1,1,1
0,0.45,2,2,0.37,3,0,0
4,0.36,3,2,0.41,1,0,0
1,0.23,1,0,0.14,1,0,0
4,0.04,4,2,0.55,3,1,0
4,0.03,0,3,0.37,0,0,0
4,0.19,1,1,0.06,1,0,0
2,0.23,6,0,0.01,1,0,0
2,0.3,3,1,0.01,3,0,0
3,0.0,4,1,0.03,2,0,0
2,0.49,5,3,0.55,1,0,0
5,0.18,8,1,0.22,1,0,0
5,0.42,7,2,0.18,2,0,0
1,0.27,3,2,0.25,0,0,0
2,0.07,3,2,0.25,4,0,0
1,0.4,1,1,0.14,3,0,0
2,0.35,7,1,0.06,1,0,0
4,0.26,8,2,0.07,1,0,0
2,0.26,1,1,0.36,1,0,0
4,0.04,5,2,0.24,1,1,0
1,0.33,3,2,0.54,3,0,0
3,0.46,5,2,0.28,2,0,0
2,0.05,2,4,0.3,2,0,0
3,0.13,3,0,0.56,1,1,0
3,0.45,4,2,0.3,1,0,0
1,0.14,6,0,0.3,2,0,0
3,0.33,1,2,0.22,1,0,0
1,0.27,7,1,0.43,1,0,0
3,0.3,3,1,0.24,1,1,0
4,0.21,4,2,0.35,4,0,0
2,0.15,6,2,0.27,1,0,0
3,0.02,2,2,0.32,1,0,0
3,0.37,0,0,0.5,3,0,0
3,0.37,1,2,0.25,2,0,0
3,0.34,4,2,0.14,3,0,0
1,0.32,3,2,0.34,2,0,0
0,0.12,3,0,0.56,3,0,0
4,0.01,4,3,0.42,3,1,0
1,0.4,5,1,0.19,2,1,1
2,0.25,1,2,0.58,4,0,0
1,0.15,7,6,0.21,3,0,0
5,0.05,6,1,0.59,3,0,0
1,0.03,2,1,0.12,2,0,0
2,0.17,3,2,0.6,2,0,0
2,0.4,4,0,0.05,1,0,0
1,0.46,1,1,0.43,4,0,0
0,0.45,4,3,0.44,2,0,0
0,0.46,7,0,0.41,1,0,0
2,0.45,1,2,0.47,2,0,0
2,0.26,3,0,0.28,3,0,0
3,0.11,1,0,0.03,0,0,0
3,0.4,4,1,0.21,2,0,0
0,0.11,4,3,0.39,4,0,0
3,0.13,2,4,0.39,2,0,0
1,0.12,6,0,0.12,0,1,0
1,0.26,3,4,0.15,3,0,0
3,0.16,4,2,0.29,4,0,0
0,0.08,2,0,0.44,0,0,0
1,0.23,5,1,0.51,1,0,0
2,0.44,3,1,0.05,2,0,0
2,0.29,4,3,0.56,3,1,0
1,0.44,3,1,0.56,1,0,0
1,0.1,3,1,0.0,2,0,0
0,0.08,6,1,0.3,1,1,0
1,0.29,1,1,0.35,5,0,0
2,0.23,4,1,0.33,2,0,0
1,0.33,1,2,0.37,5,0,0
4,0.4,1,2,0.3,2,1,1
1,0.38,4,0,0.18,0,0,0
3,0.47,3,3,0.06,2,0,0
1,0.2,1,3,0.13,2,0,0
3,0.1,2,1,0.44,1,0,0
0,0.28,2,0,0.14,4,0,0
1,0.06,2,1,0.5,0,0,0
2,0.14,3,2,0.24,0,1,0
1,0.1,4,2,0.25,2,1,0
2,0.2,7,3,0.52,1,0,0
